Date,Price,Open,High,Low,Volume,Change(%)
20-Jul-18,253.4,252.7,254,251,6422014,0.36%
19-Jul-18,252.5,254,257.85,251.2,9556686,0.26%
18-Jul-18,251.85,259.45,259.45,247.3,9348644,-2.36%
17-Jul-18,257.95,253,259,252.3,6350966,2.32%
16-Jul-18,252.1,260.5,260.8,250.5,11067012,-4.36%
13-Jul-18,263.6,267.3,269.4,262.7,8352827,-0.94%
12-Jul-18,266.1,269.6,272,265.5,8573517,-0.63%
11-Jul-18,267.8,276.4,276.4,267.1,7356582,-2.78%
10-Jul-18,275.45,274.9,276.9,272.9,6351033,0.71%
9-Jul-18,273.5,274.6,277,272.05,9387556,0.98%
6-Jul-18,270.85,262,272.5,261.85,19215897,3.56%
5-Jul-18,261.55,263.5,263.75,252.55,20820454,-2.06%
4-Jul-18,267.05,270,271.5,265.65,7394858,-0.89%
3-Jul-18,269.45,269.5,271.5,267.2,11484332,1.03%
2-Jul-18,266.7,276,276.05,265.6,16495647,-0.97%
29-Jun-18,269.3,265.45,270.5,262.65,14765516,2.26%
28-Jun-18,263.35,272,272.65,261.85,19507165,-2.84%
27-Jun-18,271.05,278.5,279.5,270,19077416,-2.09%
26-Jun-18,276.85,288.4,288.4,275.1,30728620,-4.34%
25-Jun-18,289.4,306.3,306.3,287.6,16392183,-6.04%
22-Jun-18,308,306.85,308.9,303.2,6033095,0.33%
21-Jun-18,307,307.9,308.5,305.5,5085379,0.46%
20-Jun-18,305.6,304.9,308.25,304.05,6607472,0.18%
19-Jun-18,305.05,309.6,312.8,303.3,10498362,-1.21%
18-Jun-18,308.8,302.9,311,302.1,8787098,1.93%
15-Jun-18,302.95,305.75,307.65,300.55,8224497,-0.96%
14-Jun-18,305.9,308.5,309.6,303.8,6532693,-0.81%
13-Jun-18,308.4,309.2,311.25,307,7280886,0.19%
12-Jun-18,307.8,310.95,313.65,307.2,7932388,-0.63%
11-Jun-18,309.75,310.9,313.9,306.65,14650133,-0.06%
8-Jun-18,309.95,305.7,315.55,302.4,27249374,1.49%
7-Jun-18,305.4,296.3,306.9,295.25,22839023,3.30%
6-Jun-18,295.65,286.85,296.9,285.25,19754001,3.76%
5-Jun-18,284.95,286.65,288.25,283.6,7456195,-0.59%
4-Jun-18,286.65,292.5,293.85,286,10835487,-0.19%
1-Jun-18,287.2,284.5,290.35,283.05,15840810,1.66%
31-May-18,282.5,289.95,290.85,281.6,28771987,-2.22%
30-May-18,288.9,289.95,292.25,286.15,11649429,-1.95%
29-May-18,294.65,296.8,300,293,9816561,-0.56%
28-May-18,296.3,293.75,299.9,290.3,8516862,0.73%
25-May-18,294.15,290.4,297.45,286.25,19240172,1.91%
24-May-18,288.65,300,307.65,284.1,46104103,-6.72%
23-May-18,309.45,311.1,317.25,305.4,17698475,0.57%
22-May-18,307.7,296.55,312.5,296.55,17199292,3.99%
21-May-18,295.9,304.75,307.2,294.7,11549490,-2.86%
18-May-18,304.6,314.75,315,303.5,11688577,-3.27%
17-May-18,314.9,313.1,319.5,309.3,10214660,1.50%
16-May-18,310.25,309.95,315.75,306.7,12051269,0.05%
15-May-18,310.1,324,324.05,305.7,15323964,-4.17%
14-May-18,323.6,333,333,323,8312976,-2.18%
11-May-18,330.8,334,334,330,7365579,-0.84%
10-May-18,333.6,343.75,343.75,332.75,11158000,-2.44%
9-May-18,341.95,331,347.25,331,19019847,2.95%
8-May-18,332.15,336.3,336.6,330.25,8114997,-0.90%
7-May-18,335.15,337.85,337.85,333.7,3888627,0.22%
4-May-18,334.4,333.75,337.3,329.5,6660062,0.27%
3-May-18,333.5,335.5,335.9,329.15,6870513,-0.76%
2-May-18,336.05,349.2,351.65,335,16022148,-1.28%
30-Apr-18,340.4,338.5,342.75,337.25,5937740,1.04%
27-Apr-18,336.9,333,337.65,331.05,8804236,2.01%
26-Apr-18,330.25,329.9,335.95,326,16647689,0.50%
25-Apr-18,328.6,330.8,334,327.75,6306039,-0.89%
24-Apr-18,331.55,334.8,335,330.6,9210931,-0.75%
23-Apr-18,334.05,335.95,339.5,333,8056732,-0.58%
20-Apr-18,336,335.95,343.25,334.6,11908652,0.52%
19-Apr-18,334.25,336.5,337,332.5,7087115,-0.16%
18-Apr-18,334.8,338.2,339.75,333.4,6699271,-0.49%
17-Apr-18,336.45,342.3,344.2,332.6,14241074,-0.80%
16-Apr-18,339.15,350.8,352.8,337.55,19157051,-5.01%
13-Apr-18,357.05,357.9,361,354.4,5935628,-0.38%
12-Apr-18,358.4,358,364.4,357,13145938,0.73%
11-Apr-18,355.8,355,357.15,350.5,5622957,0.72%
10-Apr-18,353.25,360.5,362.35,351.5,8201215,-1.41%
9-Apr-18,358.3,361.9,368.6,357,9555113,-1.59%
6-Apr-18,364.1,362,368.35,356.45,13297051,0.52%
5-Apr-18,362.2,362.6,372.35,359.8,28886070,1.86%
4-Apr-18,355.6,346.8,363.7,346.25,27157199,3.64%
3-Apr-18,343.1,338.4,344.5,337.15,6989584,1.16%
2-Apr-18,339.15,335,340.8,332.7,9874486,3.76%
28-Mar-18,326.85,331.5,333.65,325.2,10975624,-1.30%
27-Mar-18,331.15,333.95,335.8,330.1,6822448,-0.36%
26-Mar-18,332.35,328.8,333.9,324.3,8907023,0.45%
23-Mar-18,330.85,330,334.8,329.6,8578297,-2.17%
22-Mar-18,338.2,338.5,340.25,334.8,9255091,1.30%
21-Mar-18,333.85,339.9,342.25,332.25,6812442,-1.46%
20-Mar-18,338.8,335.5,340.4,333.55,5080453,0.92%
19-Mar-18,335.7,341.2,342.1,332.55,9391347,-1.19%
16-Mar-18,339.75,352.05,352.6,338.4,14205582,-3.78%
15-Mar-18,353.1,354.05,358.4,351.1,4331145,-0.27%
14-Mar-18,354.05,351,354.9,349.6,3820313,0.25%
13-Mar-18,353.15,352.6,356.45,350,6184241,0.16%
12-Mar-18,352.6,345,353.8,340.35,8238960,3.25%
9-Mar-18,341.5,345.55,348.7,340.15,5519224,-1.06%
8-Mar-18,345.15,350.8,351.9,341.05,7674221,-0.76%
7-Mar-18,347.8,345,355.3,343.25,15599393,0.38%
6-Mar-18,346.5,355.15,357.95,345,8876632,-1.58%
5-Mar-18,352.05,368.75,368.75,350.1,14665325,-5.04%
1-Mar-18,370.75,369.75,376.3,369.05,6991806,0.23%
28-Feb-18,369.9,370,373.65,367.15,8009429,-0.71%
27-Feb-18,372.55,375,376.6,370.35,6156672,0.13%
26-Feb-18,372.05,362,373.5,362,10576794,3.29%
23-Feb-18,360.2,360.1,364.6,358.75,6751064,0.47%
22-Feb-18,358.5,363,363,357.5,10870704,-1.63%
21-Feb-18,364.45,372.5,372.5,362.85,8640166,-1.31%
20-Feb-18,369.3,370.35,370.9,366.5,3972114,0.15%
19-Feb-18,368.75,373.7,374.7,362.8,5658765,-0.54%
16-Feb-18,370.75,378,379.4,367.6,8545282,-1.34%
15-Feb-18,375.8,379.8,382.2,373.1,10225880,-0.28%
14-Feb-18,376.85,372.9,382.3,370.6,9623436,1.36%
12-Feb-18,371.8,373.4,376.2,370.2,6002369,0.83%
9-Feb-18,368.75,369.9,373.2,368,8816777,-1.63%
8-Feb-18,374.85,379.9,380,372.2,12452396,-0.78%
7-Feb-18,377.8,380.4,385.4,375.2,12706795,0.63%
6-Feb-18,375.45,363,379.85,356.5,25294860,-5.14%
5-Feb-18,395.8,381,398,380,9876017,3.14%
